name,link,1D,30D,1Y
JS Islamic Fund,https://sarmaaya.pk/mutual-funds/fund/4be15d35-6534-4c0b-a09e-cdc17ae30cba,8.18%,0.83%,49.34%
ABL Islamic Stock Fund,https://sarmaaya.pk/mutual-funds/fund/6aaa0979-eead-4b43-9bea-ed85446833ea,6.21%,0.14%,49.25%
HBL Islamic Asset Allocation Fund,https://sarmaaya.pk/mutual-funds/fund/0225e443-ab96-4636-8ff9-9d1fa04fdbd5,6.42%,0.38%,49.19%
Alfalah GHP Value Fund,https://sarmaaya.pk/mutual-funds/fund/8db694bb-6647-434d-9a98-38f73d510f96,4.86%,2.24%,48.67%
Alfalah GHP Islamic Stock Fund,https://sarmaaya.pk/mutual-funds/fund/d16c512e-cdb3-414f-a600-9edf18a6ec73,6.69%,3.11%,48.46%
UBL Asset Allocation Fund,https://sarmaaya.pk/mutual-funds/fund/117df805-ad76-4bb2-a472-d504aca8950e,5.10%,2.92%,48.41%
Alhamra Islamic Pension Fund,https://sarmaaya.pk/mutual-funds/fund/a7eef86d-4bc4-4218-8074-11e007147e73,-3.62%,-2.04%,48.06%
Alfalah GHP Islamic Prosperity Planning Fund (Alfalah GHP Islamic Active Allocation Plan II),https://sarmaaya.pk/mutual-funds/fund/acdfed9c-9568-4175-9dcf-8f48ca6fe3fd,1.71%,1.08%,47.79%
NBP Balanced Fund,https://sarmaaya.pk/mutual-funds/fund/dfcb6593-3035-4c7a-bc17-af20a609624e,3.87%,0.96%,47.64%
Faysal Islamic Stock Fund,https://sarmaaya.pk/mutual-funds/fund/f7e8db0e-65de-4846-a81f-c757f6ed448d,6.95%,1.27%,47.55%
ABL Islamic Dedicated Stock Fund,https://sarmaaya.pk/mutual-funds/fund/ba051fe4-9c5a-49fc-bfd8-c9718f79146b,6.93%,1.20%,47.17%
Alhamra Islamic Stock Fund,https://sarmaaya.pk/mutual-funds/fund/ef8a53b3-5ec7-45f7-af70-7f2eead6136d,-3.60%,-2.29%,46.96%
NBP Islamic Sarmaya Izafa Fund,https://sarmaaya.pk/mutual-funds/fund/2dfc19d8-e323-4626-bf94-7241edaf533e,5.85%,1.69%,46.82%
MCB Pakistan Asset Allocation Fund,https://sarmaaya.pk/mutual-funds/fund/168715a7-5edd-47cc-977a-8fcef5fe49fc,-2.73%,-1.47%,46.58%
Meezan Financial Planning Fund of Funds (Aggressive),https://sarmaaya.pk/mutual-funds/fund/9b8ed6b7-6c3f-4a08-ac96-d67a6433e593,4.97%,2.30%,45.95%
Alhamra Islamic Asset Allocation Fund,https://sarmaaya.pk/mutual-funds/fund/8a163c45-87d7-4a57-9e09-209451d30c29,-3.07%,-1.29%,45.54%
Meezan Financial Planning Fund of Funds (MAAP I),https://sarmaaya.pk/mutual-funds/fund/28d5daa6-1b6f-4405-aa34-cdbe40e7d1c3,4.55%,2.73%,44.96%
Meezan Gold Fund,https://sarmaaya.pk/mutual-funds/fund/7e59207d-798c-43ab-bc76-4a44d2f90a64,515.79%,-1.55%,44.56%
Golden Arrow Stock Fund,https://sarmaaya.pk/mutual-funds/fund/28719b3e-5dd0-41b3-82b6-cea280e9cd2d,6.59%,3.47%,44.50%
Pak Qatar Islamic Pension Fund,https://sarmaaya.pk/mutual-funds/fund/4a965087-f880-47a4-8534-9d7a85b60b43,6.35%,4.92%,44.30%
NIT Pension Fund,https://sarmaaya.pk/mutual-funds/fund/11d9226c-8bbd-4747-bdbd-f8eda94f4806,0.03%,0.47%,43.99%
Meezan Tahaffuz Pension Fund,https://sarmaaya.pk/mutual-funds/fund/0bc90775-03d4-4e19-8032-37d840c121d3,-0.01%,-1.60%,43.31%
HBL Islamic Equity Fund,https://sarmaaya.pk/mutual-funds/fund/03d673b6-8bf9-4ce1-b59b-2baa8e053bb0,7.73%,1.20%,42.81%
First Capital Mutual Fund,https://sarmaaya.pk/mutual-funds/fund/cc1cae7e-38b1-48f3-bbf4-9c2ec6454d46,5.75%,1.38%,42.70%
Unit Trust of Pakistan,https://sarmaaya.pk/mutual-funds/fund/1c57b1da-0714-46bf-9b35-e313ea38e6c6,4.59%,1.79%,42.44%
Atlas Islamic Fund of Funds (Atlas Aggressive Allocation Islamic Plan),https://sarmaaya.pk/mutual-funds/fund/82de6b8c-a8da-404b-90da-3ca967338add,6.04%,-0.14%,42.25%
Meezan Strategic Allocation Fund (MSAP I),https://sarmaaya.pk/mutual-funds/fund/027edfe4-d427-44aa-bcf9-d99cc9f19da1,-2.56%,-1.73%,41.87%
MCB Pakistan Opportunity Fund (MCB Pakistan Dividend Yield Plan),https://sarmaaya.pk/mutual-funds/fund/21779d41-ac2c-44ff-9091-6dfc55cd2256,-2.01%,-1.34%,41.78%
KSE Meezan Index Fund,https://sarmaaya.pk/mutual-funds/fund/a0aac2a4-0ec4-4718-b2e5-4580f5cd8ddd,7.02%,1.22%,41.51%
Meezan Strategic Allocation Fund (MSAP II),https://sarmaaya.pk/mutual-funds/fund/8ea37a2c-a0b3-4a6a-942b-e51f8b3cc746,-2.65%,-1.95%,40.97%
UBL Financial Sector Fund,https://sarmaaya.pk/mutual-funds/fund/64b01bf7-f038-4b58-a2f8-deff3e03091a,3.70%,5.98%,40.66%
NIT Pension Fund,https://sarmaaya.pk/mutual-funds/fund/8d1c942e-a58f-4548-a566-2db2bced2ae7,-2.95%,-2.09%,39.67%
Alfalah Pension Fund - II (Formerly: Faysal Pension Fund),https://sarmaaya.pk/mutual-funds/fund/edde3f8c-0be6-4277-a8e6-c20d59e8beb9,0%,-0.13%,39.61%
AKD Islamic Stock Fund,https://sarmaaya.pk/mutual-funds/fund/a7e8354e-a510-41f7-94b3-742e80c74431,6.70%,-0.01%,39.19%
Meezan Strategic Allocation Fund (MSAP III),https://sarmaaya.pk/mutual-funds/fund/99d6ce35-70b5-41cd-93ed-7e397f7adba7,-2.55%,-1.72%,39.15%
HBL Multi Asset Fund,https://sarmaaya.pk/mutual-funds/fund/8d8ad54d-ac21-4028-93c9-f145d5f84cb7,5.16%,0.59%,39.05%
ABL Islamic Financial Planning Fund (Active Allocation Plan),https://sarmaaya.pk/mutual-funds/fund/0dac6a27-ca7d-40af-8522-a6b1adb6732e,5.49%,1.04%,38.97%
AKD Opportunity Fund,https://sarmaaya.pk/mutual-funds/fund/bccb2a8b-df32-4fe7-af35-53dbe77f0aee,5.36%,1.89%,38.81%
AKD Index Tracker Fund,https://sarmaaya.pk/mutual-funds/fund/3e357642-41f4-47f9-8ec2-8af48c889e77,8.84%,2.48%,38.41%
