name,link,1D,30D,1Y
Alfalah Special Savings Fund - II (Formerly: Faysal Special Savings Plan II),https://sarmaaya.pk/mutual-funds/fund/8a37c143-5401-4549-ae71-e2b0071f2ca2,0.37%,1.63%,12.99%
Faysal Islamic Sovereign Fund (Faysal Islamic Sovereign Plan I),https://sarmaaya.pk/mutual-funds/fund/f9218019-37af-458f-915f-2bb15e27b419,-49.24%,17.56%,12.98%
JS Islamic Income Fund,https://sarmaaya.pk/mutual-funds/fund/bd3934cc-f5b7-4b40-afc4-b2d86da65bfe,9.49%,9.50%,12.93%
AL Habib GOKP Islamic Pension Fund,https://sarmaaya.pk/mutual-funds/fund/9ddce357-9d75-4c09-9a36-5fdbc982d352,2.37%,7.64%,12.93%
Meezan Daily Income Fund (Meezan Super Saver Plan) (MSSP),https://sarmaaya.pk/mutual-funds/fund/bb74d84b-df7c-4b88-9c0f-3c8dee5ee5a3,-3.69%,9.64%,12.87%
Mahaana Islamic Index Exchange Traded Fund,https://sarmaaya.pk/mutual-funds/fund/f1dffbba-68d9-4c46-9b04-3ce5a40b368f,-15.19%,-15.80%,12.83%
Alfalah Financial Sector Opportunity Fund (Formerly: Faysal Financial Sector Opportunity Fund),https://sarmaaya.pk/mutual-funds/fund/8dcdde5d-4bbc-4879-a0af-3a1cf8a8cf31,9.56%,10.51%,12.74%
Meezan Sovereign Fund,https://sarmaaya.pk/mutual-funds/fund/291ba484-9b26-49c7-9ff8-2cea7e1b7894,6.97%,9.04%,12.65%
Faysal Islamic KPK Government Pension Fund,https://sarmaaya.pk/mutual-funds/fund/444b6895-4753-413e-a8c7-0ed664ecff21,9.71%,11.32%,12.58%
NIT KP Islamic Pension Fund,https://sarmaaya.pk/mutual-funds/fund/1d10ff44-ee06-4f3f-929e-d2dbd3535748,7.45%,8.45%,12.50%
Alfalah Islamic KPK Employee Pension Fund,https://sarmaaya.pk/mutual-funds/fund/c1608485-35f6-486b-9949-2c37cb3a7332,4.49%,9.03%,12.42%
Pak Oman Income Fund,https://sarmaaya.pk/mutual-funds/fund/0145fd6c-11e8-4d17-9f21-5c968ae85794,8.39%,7.81%,12.39%
AL Habib Islamic Pension Fund,https://sarmaaya.pk/mutual-funds/fund/020de6c4-d1e0-406d-ae80-03e0970fca3b,3.29%,8.45%,12.28%
AL Habib Islamic Pension Fund,https://sarmaaya.pk/mutual-funds/fund/63696cbd-bc4a-4d50-a078-7568a1d45459,1.46%,7.28%,12.27%
JS Islamic Pension Savings Fund,https://sarmaaya.pk/mutual-funds/fund/b66c1fb4-70d2-4946-9731-96137f0b0510,7.52%,7.36%,12.14%
Askari High Yield Scheme,https://sarmaaya.pk/mutual-funds/fund/c2ec855b-098a-4e5e-8cca-7948ac7b3cff,73.88%,8.65%,12.04%
ABL Islamic Pension Fund,https://sarmaaya.pk/mutual-funds/fund/01fc8b8a-b36d-4059-9c0d-c35ef0ccce07,4.89%,14.44%,11.98%
ABL GOKP Islamic Pension Fund,https://sarmaaya.pk/mutual-funds/fund/6695a37d-6617-4491-83d1-1ca6389dbbb4,11.53%,11.33%,11.54%
Lakson Asset Allocation Developed Markets Fund,https://sarmaaya.pk/mutual-funds/fund/8179e8fb-f7be-46bc-bfb6-90f138ce66ba,0.05%,0.99%,11.45%
Meezan Daily Income Fund (Meezan Mahana Munafa Plan),https://sarmaaya.pk/mutual-funds/fund/f59d97bf-9cf6-48ae-9353-f4d1f9087be2,8.39%,8.65%,11.34%
Pak Oman Advantage Islamic Income Fund,https://sarmaaya.pk/mutual-funds/fund/f01e3d36-d05b-4847-999f-0d827d3d506d,7.96%,7.85%,11.11%
Meezan Financial Planning Fund of Funds (Very Conservative Allocation Plan),https://sarmaaya.pk/mutual-funds/fund/d1b83dad-2e25-42ca-b556-f9be6f9bd623,0.01%,0.64%,11.10%
Pak Oman Daily Dividend Fund,https://sarmaaya.pk/mutual-funds/fund/c8eee24e-dbd0-478a-ab4b-6dca8c307584,2.19%,5.12%,10.69%
Al Ameen Voluntary Pension Fund KPK,https://sarmaaya.pk/mutual-funds/fund/866b0141-9398-4618-af20-6a23233c2b44,8.21%,8.41%,10.69%
Meezan Daily Income Fund (Meezan Sehl Account Plan) (MSHP),https://sarmaaya.pk/mutual-funds/fund/59388468-886e-43d6-9bcd-3d31015ad484,7.30%,6.90%,10.54%
Alfalah KTrade Islamic Plan VII,https://sarmaaya.pk/mutual-funds/fund/2359183e-0047-4c6b-b6fa-9af83b7640ae,0.01%,1.23%,9.42%
AKD Aggressive Income Fund,https://sarmaaya.pk/mutual-funds/fund/90949565-7166-4cab-858b-2f2e96418792,14.27%,8.57%,8.10%
Alfalah Income & Growth Fund (Formerly: Faysal Income & Growth Fund),https://sarmaaya.pk/mutual-funds/fund/371dd402-c658-4ef4-b6b4-6b49c96e710d,-9.31%,-11.79%,7.89%
ABL Islamic Asset Allocation Fund,https://sarmaaya.pk/mutual-funds/fund/2be5a242-5dfb-431d-99f6-0aba9de08c7d,0%,0.30%,6.35%
UBL Income Opportunity Fund,https://sarmaaya.pk/mutual-funds/fund/7541d825-7b93-41b6-ab5c-5d7855d46b4f,7.74%,-162.55%,0.55%
Alfalah Money Market Fund - II (Formerly: Faysal Money Market Fund),https://sarmaaya.pk/mutual-funds/fund/ecd6f301-d879-4e35-8faf-9c13780e40e1,2.99%,-140.16%,0.45%
HBL Government Securities Fund,https://sarmaaya.pk/mutual-funds/fund/1409f9a2-1b52-4a71-9ad1-062ff64816c9,75.30%,-181.57%,0.35%
Alfalah MTS Fund (Formerly: Faysal MTS Fund),https://sarmaaya.pk/mutual-funds/fund/c6d1216b-54cf-4894-92ca-1ba34c18cd7c,10.59%,-124.88%,0.34%
Lucky Islamic Money Market Fund,https://sarmaaya.pk/mutual-funds/fund/7d1558d8-49fc-4ddd-928a-7e6df21283cc,10.18%,10.51%,0%
Alfalah Stable Return Plan XII,https://sarmaaya.pk/mutual-funds/fund/8cf09c58-c2eb-458a-a531-9ce6ec5b5f9a,9.93%,10.29%,0%
UBL Fixed Return Plan IV (M),https://sarmaaya.pk/mutual-funds/fund/653a5b24-a7ad-4932-8112-c8f246997808,29.27%,10.97%,0%
UBL Fixed Return Plan IV (P),https://sarmaaya.pk/mutual-funds/fund/8b3f9750-6b8f-4c0a-a083-9f3fb6d82ad1,10.73%,11.02%,0%
Alfalah Stable Return Plan XV,https://sarmaaya.pk/mutual-funds/fund/8b17831f-2076-4e5b-abab-9e33a139efda,7.92%,10.56%,0%
Alfalah Government Securities Fund Plan I,https://sarmaaya.pk/mutual-funds/fund/85953e95-b9ee-4fa6-9ff6-eb9aab9f7720,96.03%,14.70%,0%
AWT Islamic Pension Fund,https://sarmaaya.pk/mutual-funds/fund/5f95692d-740a-455d-8f95-df45ad4be8d1,7.21%,1.72%,0%
Alfalah Stable Return Fund Plan XVIII,https://sarmaaya.pk/mutual-funds/fund/68e656ff-c94d-4b66-8c45-15e0bcc08f6f,24.20%,10.79%,0%
UBL Fixed Return Plan IV (N),https://sarmaaya.pk/mutual-funds/fund/5fa26536-de53-4505-8883-c5112ae0372e,10.84%,12.46%,0%
Pak-Qatar Asset Allocation Plan III (PQAAP IIIA),https://sarmaaya.pk/mutual-funds/fund/9443e6fb-fdb9-4dfb-9076-7bddd245ab43,6.90%,-3.01%,0%
Meezan Paidaar Munafa Plan XIV,https://sarmaaya.pk/mutual-funds/fund/83b304fc-8b8c-4b4f-91c6-1965a04d8cda,0.37%,10.84%,0%
NBP Fixed Term Munafa Plan I (A),https://sarmaaya.pk/mutual-funds/fund/79240ae0-7205-48fd-bebf-cc3fed207fb2,0%,16.49%,0%
Faysal Islamic Stock Fund II,https://sarmaaya.pk/mutual-funds/fund/772cb6fe-53e5-4744-8131-b9ed3616237c,5.99%,2.02%,0%
AL Habib Fixed Return Fund Plan 20,https://sarmaaya.pk/mutual-funds/fund/72930049-708e-4ee8-9a4d-c1c97be96562,31.54%,11.37%,0%
Alfalah Strategic Allocation Fund Plan - I,https://sarmaaya.pk/mutual-funds/fund/6aee2a23-efa8-4251-b792-6522583416a3,5.68%,1.62%,0%
ABL Fixed Rate Plan XV,https://sarmaaya.pk/mutual-funds/fund/8246b3fd-da51-44c6-bb25-67dbaa1db796,11.46%,10.76%,0%
Faysal Islamic Mustakil Munafa Fund (Faysal Islamic Mehdood Muddat Plan VIII),https://sarmaaya.pk/mutual-funds/fund/7cf22932-719b-4ead-8dce-74fbeed93c41,10.51%,0%,0%
Alfalah Financial Value Fund - II (Formerly Faysal Financial Value Fund),https://sarmaaya.pk/mutual-funds/fund/6896f149-d403-4f9c-8694-5a57afb4389c,0.19%,0.10%,0%
Lucky Islamic Fixed Term Fund Plan I,https://sarmaaya.pk/mutual-funds/fund/7bcf4f52-c333-4aeb-a4b7-56187294afed,10.55%,0%,0%
Lucky Islamic Stock Fund,https://sarmaaya.pk/mutual-funds/fund/cb2da665-c587-4570-8e3d-a79960909a53,7.44%,1.81%,0%
Faysal Islamic Mustakil Munafa Fund (Faysal Islamic Mehdood Muddat Plan VI),https://sarmaaya.pk/mutual-funds/fund/c7fd3d35-3c0c-42f1-a910-bef780f9951f,10.99%,11.04%,0%
JS Fixed Term Munafa Fund (JS Fixed Term Munafa Plan XI),https://sarmaaya.pk/mutual-funds/fund/c5eed00d-caf0-4907-950e-6563d1e85db0,184%,21.52%,0%
AL Habib Sovereign Income Fund Plan 3,https://sarmaaya.pk/mutual-funds/fund/c1291273-fd3c-4aca-871b-39109a001ab1,14.34%,0%,0%
Faysal Islamic Mustakil Munafa Fund (Faysal Islamic Mehdood Muddat Plan VII),https://sarmaaya.pk/mutual-funds/fund/bed41420-f8a8-4f0f-9bfd-e703d75d3de2,10.91%,10.46%,0%
AL Habib Fixed Return Fund Plan 21,https://sarmaaya.pk/mutual-funds/fund/bd7fd28c-c8c5-42a8-bbf1-7b057455067d,13.18%,11.22%,0%
AL Habib Sovereign Income Fund Plan 2,https://sarmaaya.pk/mutual-funds/fund/bc6a1478-666c-4d9c-b26f-a77b45c45e81,14.34%,0%,0%
Meezan Paidaar Munafa Plan XIX,https://sarmaaya.pk/mutual-funds/fund/d9b89c21-16f4-4955-9257-30b5d3727c91,10%,0%,0%
UBL Fixed Return Plan IV (L),https://sarmaaya.pk/mutual-funds/fund/dc25f0fb-14ca-4e44-ba12-6550faae4266,18.03%,11%,0%
Alfalah Stable Return Fund Plan XIX,https://sarmaaya.pk/mutual-funds/fund/dab7c2c6-37ff-4387-9aed-b64993ed9681,13.65%,10.21%,0%
Faysal Islamic Asset Allocation Fund II,https://sarmaaya.pk/mutual-funds/fund/da9001a3-993e-4532-9fc2-63092af98e66,4.04%,-0.37%,0%
JS Fixed Term Munafa Fund (JS Fixed Term Munafa Plan XIII),https://sarmaaya.pk/mutual-funds/fund/cf66be3b-1661-499f-af5e-b1fe2a28d2be,54.79%,12.02%,0%
Faysal Islamic Financial Planning Fund II (Faysal Priority Ascend Plan III),https://sarmaaya.pk/mutual-funds/fund/ccf8cd11-1354-4afc-9ef1-d8d7d1a5098e,0.03%,0%,0%
UBL Fixed Return Plan IV (K),https://sarmaaya.pk/mutual-funds/fund/9c85d243-6898-4c01-878d-5d7dee26532d,22.37%,10.37%,0%
Faysal Islamic Financial Growth Plan II,https://sarmaaya.pk/mutual-funds/fund/9c58e740-2975-4ee9-8b7c-45b44da86bb8,3.39%,8.96%,0%
Alfalah Government Securities Fund Plan II,https://sarmaaya.pk/mutual-funds/fund/9a7338a7-cc24-4c86-af3e-e0fa1946d529,41.14%,15.79%,0%
JS Fixed Term Munafa Fund (JS Fixed Term Munafa Plan XIV),https://sarmaaya.pk/mutual-funds/fund/989f359e-ddcc-4259-95b8-22da335d67bf,103.55%,10.37%,0%
ABL Fixed Rate Plan IX,https://sarmaaya.pk/mutual-funds/fund/bad05776-f62d-4afe-ba19-011fddb95af4,13.76%,11.33%,0%
NBP Fixed Term Munafa Plan XIX,https://sarmaaya.pk/mutual-funds/fund/b19b50f8-636b-4aab-a097-e105ba41a46c,0%,20.86%,0%
NBP Fixed Term Munafa Plan IV (A),https://sarmaaya.pk/mutual-funds/fund/b1231235-d73d-40e9-b724-65b6509efff3,0%,16.57%,0%
Alfalah Stable Return Fund Plan XX,https://sarmaaya.pk/mutual-funds/fund/ab8ded68-e5b3-4ee0-98c5-237366faef1d,95.67%,13.57%,0%
Lucky Islamic Income Fund,https://sarmaaya.pk/mutual-funds/fund/2b2e10c2-84b3-4575-b2d9-cd38397e95ca,10.37%,10.45%,0%
UBL Fixed Return Plan IV (G),https://sarmaaya.pk/mutual-funds/fund/252db440-f968-48ba-b66a-75b27df22749,8.76%,8.67%,0%
JS Fixed Term Munafa Fund (JS Fixed Term Munafa Plan XVII),https://sarmaaya.pk/mutual-funds/fund/2162b3c5-439b-4024-8958-b562c67304f6,69.97%,10.27%,0%
JS Fixed Term Munafa Fund (JS Fixed Term Munafa Plan XVI),https://sarmaaya.pk/mutual-funds/fund/36a2081d-361e-49f8-92a8-3198ae61c254,37.23%,10.47%,0%
Alfalah Stable Return Fund Plan XVII,https://sarmaaya.pk/mutual-funds/fund/319201e1-f957-49c7-8667-17c72d1e593c,10.40%,10.53%,0%
Faysal Khushal Mustaqbil Fund (Faysal Nu’umah Women Savers Plan),https://sarmaaya.pk/mutual-funds/fund/31747256-da1d-416e-a740-9653910a98d3,0.02%,0.74%,0%
NBP Fixed Term Munafa Plan VII (A),https://sarmaaya.pk/mutual-funds/fund/30dbd5be-3dd1-4b5d-af93-cde6fbfcc42f,0%,12.84%,0%
Meezan Paidaar Munafa Plan XVIII,https://sarmaaya.pk/mutual-funds/fund/2e9d95be-49c9-4964-b1b9-7fdd203fa751,10.80%,10.89%,0%
AL Habib Fixed Return Fund Plan 19,https://sarmaaya.pk/mutual-funds/fund/2e63811a-3286-4d96-9da1-6dda953b165e,115.01%,13.92%,0%
AWT Islamic Pension Fund,https://sarmaaya.pk/mutual-funds/fund/04a3ca1c-cc1d-458e-a0c2-31cf68854236,9.60%,9.87%,0%
Atlas Islamic Cash Fund,https://sarmaaya.pk/mutual-funds/fund/040d3194-1ca9-40d4-86b3-1a9aa0b3b842,7.12%,10.14%,0%
AL Habib Sovereign Income Fund Plan 1,https://sarmaaya.pk/mutual-funds/fund/1dc69964-5f36-4f92-9e01-a0527c4e93ee,17.08%,0%,0%
NBP Fixed Term Munafa Plan XVI (NBP Mustahkam Fund II),https://sarmaaya.pk/mutual-funds/fund/1cc2a5eb-bb5c-47af-ad0f-3dabdcef82ee,0%,11.86%,0%
Faysal Khushal Mustaqbil Fund (Faysal Ujala Women Savers Plan),https://sarmaaya.pk/mutual-funds/fund/1c0ddb31-d994-4aea-ae76-93114639ec2d,0.03%,0.76%,0%
Alfalah Islamic Sovereign Fund (Alfalah Islamic Sovereign Plan III),https://sarmaaya.pk/mutual-funds/fund/1b9275a5-fc24-448b-9045-a01ad6a833f8,6.21%,10.51%,0%
AL Habib Fixed Return Fund Plan 22,https://sarmaaya.pk/mutual-funds/fund/18b28bf7-87b4-47cd-96b3-a5ec68272819,39.82%,9.71%,0%
JS Fixed Term Munafa Fund II (JS Fixed Term Munafa Plan II),https://sarmaaya.pk/mutual-funds/fund/17cc9556-7228-407b-ba31-005724514775,134.61%,12.96%,0%
JS Fixed Term Munafa Fund (JS Fixed Term Munafa Plan VI),https://sarmaaya.pk/mutual-funds/fund/509353df-83d6-4c2b-83f5-4337d0872e3a,12.85%,10.34%,0%
AWT Islamic Money Market Fund (Formerly: AWT Money Market Fund),https://sarmaaya.pk/mutual-funds/fund/50089d26-f3ab-40dc-8077-7e10dbaa6670,9.12%,10.09%,0%
ABL Fixed Rate Plan X,https://sarmaaya.pk/mutual-funds/fund/50e23647-fa20-4298-b474-044e8697284a,14.42%,10.94%,0%
Meezan Paidaar Munafa Plan XX,https://sarmaaya.pk/mutual-funds/fund/4a4575a2-1172-4eb6-ac49-5cf4e2b5ec4d,1.75%,0%,0%
AWT Islamic Pension Fund,https://sarmaaya.pk/mutual-funds/fund/49eb45a5-98d8-4513-b191-7ceb69767424,9.49%,9.72%,0%
NBP Islamic Fixed Term Munafa Plan IV,https://sarmaaya.pk/mutual-funds/fund/473628fc-d5c0-44a2-955e-493db4594d41,0%,12.58%,0%
ABL Fixed Rate Plan XIV,https://sarmaaya.pk/mutual-funds/fund/46df5270-b059-4681-aefa-b2c319cb2f80,11.79%,11.10%,0%
Meezan Dynamic Asset Allocation Fund (Meezan Dividend Yield Plan),https://sarmaaya.pk/mutual-funds/fund/577b4243-ec39-479b-bf89-fbd18187ede2,6.12%,4.14%,0%
Faysal Khushal Mustaqbil Fund (Faysal Barak’ah Women Savers Plan),https://sarmaaya.pk/mutual-funds/fund/5727bb27-663e-4ff6-840e-d7bf287d6e4b,0.03%,0.78%,0%
JS Fixed Term Munafa Fund II (JS Fixed Term Munafa Plan I),https://sarmaaya.pk/mutual-funds/fund/55cd4adc-4a4b-4d3b-8ace-f041ad2ac31f,43.11%,8.35%,0%
786 Islamic Money Market Fund,https://sarmaaya.pk/mutual-funds/fund/55c24bce-88e5-4b5b-9b5f-9e61ca31f961,8.10%,8.13%,0%
ABL Islamic Sovereign Plan I,https://sarmaaya.pk/mutual-funds/fund/5538ee56-0488-47b8-9bbb-cdb403223628,7.41%,12.18%,0%
UBL Fixed Return Plan IV (O),https://sarmaaya.pk/mutual-funds/fund/51d40065-f12e-452a-8604-ff3e72bfd201,9.34%,13.26%,0%
JS Fixed Term Munafa Fund (JS Fixed Term Munafa Plan XV),https://sarmaaya.pk/mutual-funds/fund/f15a58a8-cab8-43d9-bca9-a6d980100107,35.37%,10.74%,0%
ABL Fixed Rate Plan V,https://sarmaaya.pk/mutual-funds/fund/f4464403-5d25-4cb0-b513-b38a78edac5e,14.42%,10.77%,0%
Alfalah Stable Return Plan XIII,https://sarmaaya.pk/mutual-funds/fund/e2953529-1d1e-4565-83ab-57997bbbe8c7,12.96%,10.20%,0%
Faysal Islamic Mustakil Munafa Fund (Faysal Islamic Mehdood Muddat Plan V),https://sarmaaya.pk/mutual-funds/fund/e79cccf9-69b4-4bd7-afbd-91a0c6ceb850,10.88%,11.03%,0%
MCB DCF Fixed Return Plan X,https://sarmaaya.pk/mutual-funds/fund/f71d0e99-c850-4b61-bfdb-251292f42a81,23.21%,-8.74%,0%
MCB Pakistan Fixed Return Plan 23,https://sarmaaya.pk/mutual-funds/fund/ed882b58-1432-49fb-9aeb-da41fbdb14b2,12.63%,9.83%,0%
UBL Fixed Return Plan I (V),https://sarmaaya.pk/mutual-funds/fund/f9fe3683-42ba-4619-8148-65af667802b2,13.36%,10.52%,0%
MCB DCF Fixed Return III (Plan I),https://sarmaaya.pk/mutual-funds/fund/38266ce8-28ab-48fe-b07e-933ee3d7e488,10.91%,-165.38%,0%
Al Ameen Islamic Fixed Term Plan I (M),https://sarmaaya.pk/mutual-funds/fund/92743494-1085-4ca5-a8cb-3ddab51db488,3.54%,7.05%,0%
MCB DCF Fixed Return Plan IX,https://sarmaaya.pk/mutual-funds/fund/54c8962d-efa0-4f4b-bed6-b240d4ba1877,13.76%,11.02%,0%
UBL Fixed Return Plan II (Y),https://sarmaaya.pk/mutual-funds/fund/c5211840-22c8-41e2-b668-ba33a8199286,12.88%,10.64%,0%
Alhamra Wada Plan (Alhamra Wada Plan XVII),https://sarmaaya.pk/mutual-funds/fund/c174a877-1766-4a82-88e8-7a0fbd0ed303,8.36%,12.69%,0%
Alhamra Wada Plan (Alhamra Wada Plan XVIII),https://sarmaaya.pk/mutual-funds/fund/c0b23f62-d9ad-4158-8b7d-17f2520f76c7,11.10%,11.16%,0%
UBL Fixed Return Plan II (V),https://sarmaaya.pk/mutual-funds/fund/180d1e03-4764-4a5f-95ba-d8ac9916479d,10.51%,10.34%,0%
UBL Fixed Return Plan III (X),https://sarmaaya.pk/mutual-funds/fund/65014e16-04fb-441c-a6d6-78356af20d68,10.55%,10.69%,0%
MCB DCF Fixed Return III (Plan IV),https://sarmaaya.pk/mutual-funds/fund/07f0d4cb-ca76-480c-bfc2-9bd5307e224d,1.93%,-104.36%,0%
MCB DCF Fixed Return Plan VIII,https://sarmaaya.pk/mutual-funds/fund/083b7797-19b1-49f8-8aa3-efd74c40a8ef,16.10%,-25.52%,0%
Al Ameen Islamic Fixed Return Plan I (P),https://sarmaaya.pk/mutual-funds/fund/d2179a4d-4023-498a-8efd-6c9836fb99e9,5.58%,4.13%,0%
MCB DCF Fixed Return III (Plan II),https://sarmaaya.pk/mutual-funds/fund/56475ebc-7733-4472-91cc-8b2442098f44,24.45%,-143.15%,0%
UBL Fixed Return Plan II (Z),https://sarmaaya.pk/mutual-funds/fund/39a5c817-a620-4817-95fe-2441d59968bf,13.65%,10.83%,0%
MCB DCF Fixed Return III (Plan VI),https://sarmaaya.pk/mutual-funds/fund/4f9944e9-ce3b-4a14-8079-f28956c529eb,11.90%,0%,0%
ABL Fixed Rate Plan XVI,https://sarmaaya.pk/mutual-funds/fund/b46e910b-9607-4780-92d7-a5c16d049bbc,12.74%,10.89%,0%
MCB Investment Savings Plan I,https://sarmaaya.pk/mutual-funds/fund/4c148ba4-6cf9-4730-8db0-c9d1f1de4c88,8.91%,9.51%,0%
UBL Fixed Return Plan I (T),https://sarmaaya.pk/mutual-funds/fund/25f29fb3-f424-4343-adde-8757163f106f,10.66%,10.66%,0%
UBL Fixed Return Plan I (O),https://sarmaaya.pk/mutual-funds/fund/4bc2d51e-f77e-40d6-8ac9-c16b2b716163,12.34%,10.48%,0%
UBL Fixed Return Plan II (U),https://sarmaaya.pk/mutual-funds/fund/29b9bb94-9d30-46ea-9876-cce3e79058e8,12.23%,10.33%,0%
MCB Government Securities Plan I,https://sarmaaya.pk/mutual-funds/fund/2ee9597a-32b2-46d1-b236-f315a66c95b9,23.69%,10.28%,0%
Alhamra Wada Plan (Alhamra Wada Plan XIX),https://sarmaaya.pk/mutual-funds/fund/83b06f3e-8b7e-4be8-bfe4-dc13fee55afa,10.77%,10.85%,0%
UBL Fixed Return Plan I (U),https://sarmaaya.pk/mutual-funds/fund/82f49ea4-61c8-4870-8e7b-babb662b174d,12.96%,11.37%,0%
UBL Fixed Return Plan III (S),https://sarmaaya.pk/mutual-funds/fund/bc3d751b-9bc5-4fdf-abb4-430d43c15fc8,11.90%,10.57%,0%
MCB DCF Fixed Return II (Plan III),https://sarmaaya.pk/mutual-funds/fund/44648496-621a-483f-9fc6-42662c1468ae,59.71%,-85.44%,0%
Mahaana IGI Islamic Retirement Fund,https://sarmaaya.pk/mutual-funds/fund/48ccf491-7c1a-4f66-8157-dad8c3363c72,27.45%,0%,0%
Mahaana IGI Islamic Retirement Fund,https://sarmaaya.pk/mutual-funds/fund/3f55a009-1ca5-43bd-a2d7-a51139b93767,11.94%,0%,0%
Mahaana IGI Islamic Retirement Fund,https://sarmaaya.pk/mutual-funds/fund/952e12b7-2487-42f0-80dd-5e3e4c3f31c1,-0.59%,0%,0%
HBL Mehfooz Munafa Fund Plan VIII,https://sarmaaya.pk/mutual-funds/fund/b973110e-05a8-4dea-80a8-b92c4846dc03,11.32%,11.43%,0%
UBL Fixed Return Plan II (X),https://sarmaaya.pk/mutual-funds/fund/3cacdfd8-f402-4a51-bcb5-b8f52a9864e5,8.91%,11.18%,0%
Faysal Islamic Mustakil Munafa Fund (Faysal Islamic Mehdood Muddat Plan IV),https://sarmaaya.pk/mutual-funds/fund/ab1313db-d8ca-4d64-bf0e-b864101ae569,13.72%,10.82%,0%
AL Habib Fixed Return Fund Plan 16,https://sarmaaya.pk/mutual-funds/fund/d96ac6c5-35e4-45b5-9c99-1bee9ffe5b27,-1.24%,9.68%,0%
AL Habib Fixed Return Fund Plan 18,https://sarmaaya.pk/mutual-funds/fund/2ae05e9a-4b97-4600-a03a-26d7a9294f10,10%,10.21%,0%
AL Habib Fixed Return Fund Plan 15,https://sarmaaya.pk/mutual-funds/fund/f1803e1b-4bda-45b2-aad0-7278e570556f,9.78%,10.13%,0%
UBL Fixed Return Plan I (R),https://sarmaaya.pk/mutual-funds/fund/d546dd43-bd8b-4b9b-a36e-a3d257051044,-4.05%,10.37%,0%
NBP Fixed Term Munafa Plan X (A),https://sarmaaya.pk/mutual-funds/fund/6f61757a-49f1-4491-b496-645b79c1ae2f,0%,12.79%,0%
NBP Fixed Term Munafa Plan IX (A),https://sarmaaya.pk/mutual-funds/fund/5d979db8-9cdf-430b-a03b-7dc33261daf4,0%,12.47%,0%
NBP Fixed Term Munafa Plan V (A),https://sarmaaya.pk/mutual-funds/fund/be189e4c-6e04-46fa-880d-74af39b3f53e,0%,12.48%,0%
Alfalah Financial Sector Income Plan II,https://sarmaaya.pk/mutual-funds/fund/d691e0b5-5d2f-4bc6-8377-f0fe5e861708,-36500%,-1216.67%,0%
Alfalah Stable Return Fund Plan XVI,https://sarmaaya.pk/mutual-funds/fund/6b7c335f-3cec-4ff6-ba91-477c980c1780,9.12%,10.88%,0%
JS Fixed Term Munafa Fund (JS Fixed Term Munafa Plan X),https://sarmaaya.pk/mutual-funds/fund/f0c89585-d04d-46c0-bde3-d85bbf4e97fc,11.83%,25.32%,0%
NBP Fixed Term Munafa Plan VI (A),https://sarmaaya.pk/mutual-funds/fund/f7bd2a91-e609-4a9e-8d09-77d7801ca9a6,855.92%,40.55%,0%
MCB DCF Fixed Return Plan VII,https://sarmaaya.pk/mutual-funds/fund/4617173e-17ea-4d0e-956c-82ec700885a8,951.01%,43.39%,0%
NBP Fixed Term Munafa Plan III (A),https://sarmaaya.pk/mutual-funds/fund/b6fb69f2-6718-4a91-881f-48f7f855fd76,2230.51%,86.77%,0%
UBL Fixed Return Plan III (T),https://sarmaaya.pk/mutual-funds/fund/93732754-4713-405b-a637-642ab519094e,10.15%,9.87%,0%
NBP Fixed Term Munafa Plan XVII (NBP Mustahkam Fund II),https://sarmaaya.pk/mutual-funds/fund/52594323-be53-4789-828b-977257a98075,0%,10.91%,0%
Faysal Islamic Mustakil Munafa Fund (Faysal Islamic Mehdood Muddat Plan III),https://sarmaaya.pk/mutual-funds/fund/43b5548b-81fa-46b8-80a4-9e2c99d5b15c,10.99%,11.01%,0%
Meezan Paidaar Munafa Plan XVII,https://sarmaaya.pk/mutual-funds/fund/0d7879ce-fef1-4107-bfec-9473bbde5b95,685.40%,33.65%,0%
UBL Special Savings Plan X,https://sarmaaya.pk/mutual-funds/fund/ddd3b4b6-65a1-4ddf-b8f6-a284f308f7c2,0.22%,9.84%,-2.55%
AKD Islamic Income Fund,https://sarmaaya.pk/mutual-funds/fund/a6a34c08-dbef-4958-9030-e714d9a6b861,8.21%,13.10%,-3.10%
Alfalah Financial Sector Income Fund,https://sarmaaya.pk/mutual-funds/fund/109954fd-d312-465a-aa03-52cfd36a0b84,20.95%,10.42%,-4.84%
AKD Cash Fund,https://sarmaaya.pk/mutual-funds/fund/eb2f5fbf-9879-454d-8dcf-0bdc15d7c1e7,12.74%,9.41%,-5.34%
HBL Islamic Asset Allocation Fund Plan I,https://sarmaaya.pk/mutual-funds/fund/dab3e22f-54cc-40ae-9b39-dc2902b2cf5a,0%,0.34%,-18.82%
